code,created_t,product_name,quantity,product_quantity,serving_size,serving_quantity,brands,categories,labels,emb_codes,ingredients_text,ingredients_tags,nutriscore_grade,nutriscore_score,categories_tags,labels_tags,countries_tags,no_nutrition_data,added-sugars_100g,alcohol_100g,alpha-linolenic-acid_100g,biotin_100g,caffeine_100g,calcium_100g,carbohydrates-total_100g,carbohydrates_100g,cholesterol_100g,choline_100g,chromium_100g,copper_100g,docosahexaenoic-acid_100g,eicosapentaenoic-acid_100g,energy-kcal_100g,energy-kj_100g,energy_100g,fat_100g,fiber_100g,fructose_100g,fruits-vegetables-legumes-estimate-from-ingredients_100g,fruits-vegetables-legumes_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts_100g,glucose_100g,glycemic-index_100g,iodine_100g,iron_100g,magnesium_100g,maltose_100g,manganese_100g,monounsaturated-fat_100g,nova-group_100g,nutrition-score-fr_100g,omega-3-fat_100g,omega-6-fat_100g,pantothenic-acid_100g,phosphorus_100g,polyols_100g,polyunsaturated-fat_100g,potassium_100g,proteins_100g,salt_100g,saturated-fat_100g,selenium_100g,sodium_100g,starch_100g,sucrose_100g,sugars_100g,taurine_100g,trans-fat_100g,vitamin-a_100g,vitamin-b12_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-c_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-pp_100g,zinc_100g
00000002,1760861583,,,,,,,,,,,,,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000003,1752485388,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000004,1768903196,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000005,1767072228,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000006,1760212975,,,,,,,,,,,,,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000006666,1709219541,6666,1pcs,0,,,,,,,,,unknown,,,,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000007,1678803019,granola Bio le Chocolaté,450g,450,25 gram,25,Mg ricarica,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base de plantes séchées, Fruits secs",en:made-in-france,,HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07,"es:honig-stillende-frauen-nicht-geeignet,es:d-bestrahlung-vermeiden-und-be-trocken-lagern,es:x000v0xh07",c,4,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:dried-products,en:fruits-based-foods,en:dried-plant-based-foods,en:dried-fruits",en:made-in-france,"en:germany,en:spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000008,1609862762,,700ml,700,30 g,30,Zuegg,Cornish clotted cream shortbread,"Halal, No added sugar, No lactose, en:no-gluten",,"Sojaproteinisolat, Weizen - protein, Kaffee-Extrakt (6 %), Reisprotein, Erbsenprotein - isolat, Kakaopulver stark ent - ölt, Sonnenblumenprotein, Mandelprotein, Aroma, Sü - Bungsmittel (Sucralose).","en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:wheat-protein,en:coffee,en:rice-protein,en:pea-protein,de:isolat,de:kakaopulver-stark-ent,de:ölt,en:sunflower-protein,en:almond-protein,en:flavouring,de:sü,de:bungsmittel,en:e955",c,6,en:cornish-clotted-cream-shortbread,"en:no-gluten,en:halal,en:no-added-sugar,en:no-lactose","en:germany,en:united-states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000009,1677761447,Protein Plant Powered Wrap,1pcs,0,0g,0,Mission,"Sandwiches, Wraps, Protein",,,,,unknown,,"en:sandwiches,en:wraps,en:protein",,"en:germany,en:world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000010,1476947941,xxx,700ml,700,"17,6g",17.6,xxx,"Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madeleines",xxx,,"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,en:e422,fr:carbonates-d-ammonium-carbonates-de-sodium",unknown,,"en:beverages-and-beverages-preparations,en:beverages,en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:cakes,en:pound-cake,en:madeleines,en:plain-madeleines",it:xxx,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000011,1718649410,,1pcs,0,,,"Kugler, Pyrat",,,,,,unknown,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000012,1578683912,Besan chilla with stuffed chciken,830 g,830,1 cup,,Toneop,"Dietary supplements,Bodybuilding supplements,Groceries,Supplement",,CE,,,not-applicable,,"en:dietary-supplements,en:bodybuilding-supplements,en:groceries,en:supplement",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000013,1553970319,Powdered peanut butter,300 g,300,0g,0,Pbfit,"Snacks, Meals, Rice dishes, Risottos, Powder peanut butter",,"EMB 41106C,FR 41.108.001 EC","Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin","en:water,en:leptospermum-scoparium-mel,en:sodium-c14-c16-olefin-sulfonate,en:cocamide-dipa,en:cocamidopropyl-betaine,en:glycereth-2-cocoate,en:melaleuca-alternifolia,en:oil,en:oil-and-fat,en:malus-domestica-fruit-cell-culture-extract,en:phenoxyethanol,en:ethylhexylglycerin,en:manuka-honey,en:added-sugar,en:honey,en:coconut-oil,en:vegetable-oil-and-fat,en:vegetable-oil,en:tea-tree",c,3,"en:snacks,en:meals,en:rice-dishes,en:risottos,en:powder-peanut-butter",,en:switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000015,1523810594,Madeleines ChocoLait,1000 g,1000,"21,6g",21.6,Apple bandit,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Madeleines, Madeleines au chocolat",,,"Farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:milk-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e500,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,en:cocoa-butter,en:plant,en:cocoa,en:whole-milk-powder,en:cocoa-paste,en:emulsifier,en:natural-vanilla-flavouring,en:vanilla-flavouring,en:e422,en:e503,en:e322,en:soya-lecithin,en:e322i",e,20,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines",,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000016,1703127173,velvety vanilla cake mix,,,0g,0,betty crocker,"Dietary supplements, Vitamins",,,Beef liver,"en:beef-liver,en:animal,en:beef",not-applicable,,"en:dietary-supplements,en:vitamins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000017,1728736811,Collagen For Her,1.0 kg,1000,2 tortillas (56.699 g),56.699,Bodylab,,,,"whey protein concentrate, milk protein concentrate, flavoring, thickener (xanthan gum), sweetener (sucralose)","en:whey-protein,en:protein,en:animal-protein,en:milk-proteins,en:milk-protein-concentrate,en:flavouring,en:thickener,en:sweetener,en:e415,en:e955",unknown,,,,"en:france,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000018,1729882037,Chocolate peanut butter protein,,,28.0g,28,Pays Gourmand,"Fasern,Pflanzliche Lebensmittel",en:nutriscore,,,,unknown,,"en:plant-based-foods-and-beverages,en:plant-based-foods,de:fasern",en:nutriscore,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000019,1718717714,Erdbeeren,250g,250,261.0g,261,BeerenBrüder,,,,,,unknown,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000020,1536930846,Nesquik moins de sucre,1080 g / 50 madeleines,1080,2 scoops (35 g),35,Nestlé,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Quatre-quarts, Gâteaux au chocolat, Madeleines, Madeleines au chocolat","No gluten, Organic, Free range, Kosher, No preservatives, USDA Organic, Free range eggs, Green Dot, Made in France, No colorings, No palm oil, Nutriscore, Pure cocoa butter, fr:Blé français, Triman, fr:Fabriqué en Nouvelle-Aquitaine, en:nutriscore-grade-a",,"Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E","en:nut,en:prebiotic-blend,en:protein-blend,en:natural-flavouring,en:flavouring,en:peanut-flour,en:peanut,en:coconut-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil,en:chocolate,en:cocoa,en:plant,en:cocoa-butter,en:sea-salt,en:salt,en:lion-s-mane,en:stevia-plant-extract,en:vitamin-e,en:vitamins,en:almond,en:tree-nut,en:tapioca-fiber,en:vegetable-fiber,en:fiber,en:pea-protein-crisps,en:pea-protein,en:protein,en:plant-protein,en:tapioca,en:starch",unknown,,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pound-cake,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines","en:no-gluten,en:organic,en:free-range,en:kosher,en:no-preservatives,en:usda-organic,en:free-range-eggs,en:green-dot,en:made-in-france,en:no-colorings,en:no-palm-oil,en:nutriscore,en:nutriscore-grade-a,en:pure-cocoa-butter,fr:ble-francais,fr:triman,fr:fabrique-en-nouvelle-aquitaine","en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000021,1560170250,Inulin Prebiotic Fiber,,,3g,3,It's Just!,,,,Inulin Prebiotic Fiber (Chicory Root Powder),"en:inulin-prebiotic-fiber,en:chicory-root,en:vegetable,en:shoot-vegetable,en:chicory",unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000022,1614525537,Farandole de madeleine,590 g,590,54g,54,Coca-Cola,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Madeleines, Madeleines au chocolat, Madeleines longues",,,"Madeleines ChocoNoir - Madeleines nappées de chocolat noir : farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque. Toutes vos remarques et suggestions sont les bienvenues : contactez notre Service Qualité en indiquant le nom et le numéro du lot du produit concerné figurant sur le dessus de la boîte. Pour conserver toutes les qualités de ce produit, le maintenir dans un milieu tempéré à l'abri de la chaleur, de l'humidité et du froid.","fr:madeleines-choconoir,fr:madeleines-nappees-de-chocolat-noir,en:dark-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e500,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,fr:toutes-vos-remarques-et-suggestions-sont-les-bienvenues,fr:le-maintenir-dans-un-milieu-tempere-a-l-abri-de-la-chaleur,fr:de-l-humidite-et-du-froid,en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:cocoa-paste,en:plant,en:cocoa,en:cocoa-butter,fr:matiere-grasse-de-lait-anhydre,en:emulsifier,en:natural-vanilla-flavouring,en:vanilla-flavouring,en:e422,en:e503,fr:contactez-notre-service-qualite-en-indiquant-le-nom-et-le-numero-du-lot-du-produit-concerne-figurant-sur-le-dessus-de-la-boite,fr:pour-conserver-toutes-les-qualites-de-ce-produit,en:e322,en:soya-lecithin,en:e322i",c,9,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines,en:long-madeleines",,en:brazil,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000023,1761475492,,,,,,,,,,,,,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000024,1579212608,Croccante con pistacchi e miele,,,33.3g,33.3,NUTELLA,it:bieta da costa,"Organic, EU Organic, Non-EU Agriculture, EU Agriculture, EU/non-EU Agriculture, NL-BIO-01",,"Pommes séchées - Dried Apple* Origine: Autriche - Origin: Austria Ce produit provient d'une fabrique où les noix, cacahuètes, sésame, blé et gluten sont utilisés. This producti 024","en:dried-apple,en:fruit,en:malaceous-fruit,en:apple,fr:dried-apple,en:peanut,en:nut,en:sesame,en:seed,en:wheat,en:cereal,fr:gluten-sont-utilises,fr:this-producti-024",unknown,,it:bieta-da-costa,"en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:nl-bio-01","en:belgium,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000025,1673331788,Frog Fuel Power Protein,610 g,610,2g,2,Frog Fuel,Protein,"fr:sans-conservateurs, fr:sans-colorants, triman",,"glucose syrup, sugar, water, pectin, black carrot concentrate and chlorophyll (color), citric acid, trisodium citrate, natural flavor","en:glucose-syrup,en:added-sugar,en:monosaccharide,en:glucose,en:sugar,en:disaccharide,en:water,en:e440a,en:concentrated-black-carrot,en:vegetable,en:root-vegetable,en:taproot-vegetable,en:carrot,en:e163,en:black-carrot,en:e140i,en:e140,en:e330,en:e331iii,en:e331,en:natural-flavouring,en:flavouring,en:colour",unknown,,en:protein,"en:no-preservatives,en:no-colorings,fr:triman",en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000026,1572188426,The Smartest Cookie,,,28g,28,People's Choice Beef Jerky,,"Sin gluten, Vegetariano, Vegano",,"beef, seasoning (sugar, garlic, onion, salt, spices), soy sauce (water, wheat, soybeans, salt), water, liquid smoke, sodium nitrite","en:beef,en:animal,en:coating,en:soy-sauce,en:sauce,en:water,en:liquid-smoke,en:smoke,en:e250,en:sugar-coating,en:added-sugar,en:disaccharide,en:sugar,en:garlic,en:vegetable,en:root-vegetable,en:onion-family-vegetable,en:onion,en:salt,en:spice,en:condiment,en:wheat,en:cereal,en:soya-bean,en:legume,en:pulse,en:soya",unknown,,,"en:no-gluten,en:vegetarian,en:vegan",en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000027,1559030989,Volle yoghurt,700 ml,700,700 ml,700,Zuivelmeester,"Beverages and beverages preparations, Beverages","Nutriscore, en:nutriscore-grade-b",,NIK ODŻYWCZY WSPIERA PRAWIDŁOWE FUNKCJONOWANIE ORGANIZMU ZESKANUJ WIĘCEJA SPOTKAJMY SIN SPRÓBLU JAK PYSZNA IWARTOŚCIOWA MOŻE BYĆ TWOJA PRZEKĄSKA mieste dal twistenue p amach ne zachowania,en:nik-odżywczy-wspiera-prawidłowe-funkcjonowanie-organizmu-zeskanuj-więceja-spotkajmy-sin-sproblu-jak-pyszna-iwartościowa-może-być-twoja-przekąska-mieste-dal-twistenue-p-amach-ne-zachowania,unknown,,"en:beverages-and-beverages-preparations,en:beverages","en:nutriscore,en:nutriscore-grade-b","en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000028,1626699977,Hershey’s Syrup,700ml,700,30g,30,Hershey’s,"Beverages and beverages preparations, Beverages, Supplement",Organic hemp protein,,Organic Defatted Hemp Seed Powder. Certified Organic by Quality Assurance International (QA).,"en:hemp-seed,en:seed,en:by-quality-assurance-international",unknown,,"en:beverages-and-beverages-preparations,en:beverages,en:supplement",en:organic-hemp-protein,"en:france,en:germany,en:united-states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000029,1648551873,Anthony's Organic Cocoa Butter Chunks,,,10 g,10,Anthony's,"Sandwiches, Wraps","No gluten, Vegetarian, Vegan, en:usda-organic",,Allulose,en:allulose,e,20,"en:sandwiches,en:wraps","en:no-gluten,en:organic,en:vegetarian,en:usda-organic,en:vegan",en:united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000031,1673637219,Lindt Vollmilch Schokolade,100g,100,,,Lindt,"Dried products, Dried products to be rehydrated, Broths, Dehydrated broths, Bouillon cubes",,,"salt, potato starch, palm oil, yeast extract, sugar, chicken fat, flavouring, chicken powder, onion powder, turmeric powder, celery seed, parsley, rice flour, black pepper, lemon juice powder","en:salt,en:potato-starch,en:starch,en:palm-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:palm-oil-and-fat,en:yeast-extract,en:yeast,en:sugar,en:added-sugar,en:disaccharide,en:chicken-fat,en:fat,en:animal-fat,en:poultry-fat,en:flavouring,en:chicken,en:poultry,en:onion,en:vegetable,en:root-vegetable,en:onion-family-vegetable,en:turmeric-powder,en:condiment,en:spice,en:turmeric,en:celery-seed,en:seed,en:stalk-vegetable,en:celery,en:parsley,en:herb,en:leaf-vegetable,en:rice-flour,en:flour,en:rice,en:black-pepper,en:pepper,en:lemon-juice,en:fruit,en:juice,en:fruit-juice",unknown,,"en:dried-products,en:dried-products-to-be-rehydrated,en:broths,en:dehydrated-broths,en:bouillon-cubes",,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000032,1760711428,,,,,,,,,,,,,,,,en:brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000033,1622534821,Vegan Protein 3k Chocolate Flavor,,,200mg,0.2,nu³,,"Vegetarisch, Vegan",,MAT TRACCIATO PERONI 10 INDISCUTIBILME 46,en:mat-tracciato-peroni-10-indiscutibilme-46,unknown,,,"en:vegetarian,en:vegan",en:european-union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000034,1536945788,Graines de Chia,1kg,1000,1g,1,Nestle Carnation,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Chia","Sans gluten, Bio, Végétarien, Bio européen, Agriculture non UE, Végétalien, Agriculture UE, Agriculture UE/Non UE, FR-BIO-01, en:Soil Association Organic",EMB 40168A,Graines de chia,"en:chia-seed,en:seed,en:chia",unknown,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:chia","en:no-gluten,en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:eu-agriculture,en:eu-non-eu-agriculture,en:fr-bio-01,en:soil-association-organic",en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000035,1545469597,Cardiofitmd,600 g,600,16g,16,1MD Nutrition,,,,"Oat Fiber, Tahl Gum (Acacia seyal), Apple Fiber, Guar Gum, Rice Bran Fiber, Beet Root Powder, Beet Juice Powder, Rhodiola Root Powder, Bacillus Coagulans, Natural Vanilla and Lemonade Flavors, Other Natural Flavors, Malic Acid, Stevia Leaf Extract, Fumaric Acid, Ginger Root Powder, Tartaric Acid","en:oat-fibre,en:cereal,en:fiber,en:oat,en:vegetable-fiber,en:tahl-gum,en:apple-fiber,en:e412,en:rice-bran-fiber,en:beetroot-powder,en:vegetable,en:root-vegetable,en:taproot-vegetable,en:beetroot,en:beetroot-juice,en:rhodiola-root-powder,en:bacillus-coagulans,en:ferment,en:microbial-culture,en:lactic-ferments,en:natural-vanilla,en:plant,en:vanilla,en:lemonade-flavors,en:with-other-natural-flavouring,en:flavouring,en:natural-flavouring,en:e296,en:e960,en:e297,en:ginger-powder,en:condiment,en:spice,en:ginger,en:e334,en:acacia-seyal",unknown,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000036,1537366963,Multi Patents Collagen Peptides,490 g,490,11g,11,VEV,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, Madeleines, Long madeleines","Vegetarian, Vegan, en:no-additives",,"Multi Collagen Complex, Hydrolyzed Bovine Collagen Peptides, Hydrolyzed Fish Collagen Peptides, Chicken Bone Broth Protein Concentrate, Eggshell Membrane Collagen, Hyaluronic Acid, Superfoods Blend (Millet, Amaranth, Apple Pulp, Kale, Quinoa, Buckwheat, Cinnamon, Chia Seed, Flax Seed, Barley Sprout, Millet Sprout, Garbanzo Bean Sprout, Alfalfa Sprout, Pumpkin Seed Sprout, Flax Oil, Sunflower Seed, Lentil Sprout, Adzuki Sprout, Broccoli Sprout, Sunflower Seed Sprout, Wheat Grass, Oat Grass, Spinach, Green Bell Pepper, Turmeric, Banana, Cranberry, Mango, Beet, Broccoli, Carrot, Spinach, Onion, Blueberry, Parsley, Raspberry, Strawberry, Asparagus, Celery, Cucumber, Chlorella, Spirulina, Graviola Leaf, Mangosteen, Noni Fruit, Acai, Pomegranate, Grape)","en:multi-collagen-complex,en:hydrolyzed-bovine-collagen-peptides,en:hydrolyzed-fish-collagen-peptides,en:chicken-bone-broth-protein-concentrate,en:eggshell-membrane-collagen,en:hyaluronic-acid,en:superfoods-blend,en:millet,en:cereal,en:e123,en:apple-pulp,en:fruit,en:malaceous-fruit,en:apple,en:kale,en:vegetable,en:brassica,en:cabbage,en:quinoa,en:plant,en:buckwheat,en:cinnamon,en:condiment,en:spice,en:chia-seed,en:seed,en:chia,en:flax-seed,en:flax,en:barley-sprout,en:millet-sprout,en:garbanzo-bean-sprout,en:alfalfa-sprout,en:pumpkin-seed-sprout,en:flax-oil,en:sunflower-seed,en:sunflower,en:lentil-sprout,en:adzuki-sprout,en:broccoli-sprout,en:sunflower-seed-sprout,en:wheat-grass,en:oat-grass,en:spinach,en:leaf-vegetable,en:green-bell-pepper,en:fruit-vegetable,en:bell-pepper,en:turmeric,en:banana,en:cranberry,en:mango,en:beetroot,en:root-vegetable,en:taproot-vegetable,en:broccoli,en:carrot,en:onion,en:onion-family-vegetable,en:blueberry,en:berries,en:parsley,en:herb,en:raspberry,en:strawberry,en:asparagus,en:shoot-vegetable,en:celery,en:stalk-vegetable,en:cucumber,en:chlorella,en:algae,en:spirulina,en:graviola-leaf,en:mangosteen,en:noni-fruit,en:acai-berry,en:pomegranate,en:grape",a,-1,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:madeleines,en:long-madeleines","en:vegetarian,en:vegan,en:no-additives",en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
